add_date,stock,name,industry,open,close,today_pct,open1,close1,today_pct1,open2,close2,today_pct2,open3,close3,today_pct3,open4,close4,today_pct4,open5,close5,today_pct5,open6,close6,today_pct6,open7,close7,today_pct7,open8,close8,today_pct8,open9,close9,today_pct9,open10,close10,today_pct10
2026-03-30,600105.XSHG,永鼎股份,通信I,25.0,27.69,0.1076,27.13,27.74,0.0225,28.5,30.51,0.0705,30.3,30.29,-0.0003,31.03,30.98,-0.0016,30.98,30.21,-0.0249,31.59,33.23,0.0519,33.95,34.64,0.0203,34.65,38.1,0.0996,37.87,38.7,0.0219,38.1,37.18,-0.0241
2026-03-30,301308.XSHE,江波龙,电子I,310.24,315.0,0.0153,302.0,297.08,-0.0163,319.0,299.11,-0.0624,300.4,289.44,-0.0365,291.5,285.57,-0.0203,290.82,297.5,0.023,318.11,323.92,0.0183,316.75,325.5,0.0276,333.0,341.3,0.0249,340.16,354.5,0.0422,357.91,381.51,0.0659
2026-03-30,688498.XSHG,源杰科技,电子I,745.21,732.79,-0.0167,707.26,693.77,-0.0191,724.51,731.41,0.0095,724.51,713.47,-0.0152,734.88,748.66,0.0188,738.31,743.14,0.0065,784.41,784.54,0.0002,779.71,778.46,-0.0016,779.02,845.29,0.0851,834.92,873.56,0.0463,872.87,863.54,-0.0107
2026-03-30,600498.XSHG,烽火通信,通信I,44.99,48.8,0.0847,47.6,50.48,0.0605,52.33,48.86,-0.0663,48.19,47.82,-0.0077,48.81,49.16,0.0072,48.99,48.81,-0.0037,50.1,51.25,0.023,51.2,54.95,0.0732,54.8,52.4,-0.0438,51.3,50.17,-0.022,50.55,50.78,0.0045
2026-03-30,002192.XSHE,融捷股份,有色金属I,83.35,81.98,-0.0164,82.24,76.28,-0.0725,75.0,70.63,-0.0583,70.67,72.32,0.0233,73.2,71.29,-0.0261,71.43,71.28,-0.0021,69.92,71.68,0.0252,71.96,73.05,0.0151,73.0,73.17,0.0023,72.93,78.32,0.0739,77.54,79.5,0.0253
2026-03-30,300751.XSHE,迈为股份,电气设备I,260.09,230.53,-0.1137,230.53,228.7,-0.0079,235.58,236.6,0.0043,231.02,229.42,-0.0069,229.0,220.01,-0.0393,220.48,213.64,-0.031,218.79,228.2,0.043,221.36,213.0,-0.0378,210.91,219.58,0.0411,215.63,213.1,-0.0117,213.5,215.8,0.0108
2026-03-30,300548.XSHE,长芯博创,通信I,146.71,159.31,0.0859,156.03,153.15,-0.0185,158.82,159.43,0.0038,157.12,157.88,0.0048,161.3,165.18,0.0241,169.05,181.1,0.0713,190.0,206.39,0.0863,200.11,231.86,0.1587,229.96,223.8,-0.0268,223.32,225.0,0.0075,229.0,231.37,0.0103
2026-03-30,601012.XSHG,隆基绿能,电气设备I,18.4,17.96,-0.0239,17.9,17.54,-0.0201,17.72,17.89,0.0096,17.8,17.36,-0.0247,17.3,16.66,-0.037,16.66,16.7,0.0024,16.92,17.32,0.0236,17.06,16.92,-0.0082,17.06,17.12,0.0035,17.0,17.68,0.04,17.59,17.55,-0.0023
2026-03-31,600118.XSHG,中国卫星,国防军工I,81.11,81.86,0.0092,83.0,79.94,-0.0369,79.95,78.29,-0.0208,79.4,76.85,-0.0321,76.91,75.4,-0.0196,76.9,80.81,0.0508,79.21,79.13,-0.001,79.5,78.92,-0.0073,78.49,80.5,0.0256,80.99,84.39,0.042,85.02,86.28,0.0148
2026-03-31,002131.XSHE,利欧股份,机械设备I,7.67,7.81,0.0183,7.84,7.73,-0.014,7.71,7.45,-0.0337,7.44,7.12,-0.043,7.19,7.23,0.0056,7.42,7.95,0.0714,8.03,8.0,-0.0037,8.01,7.99,-0.0025,7.91,8.05,0.0177,8.17,8.12,-0.0061,8.12,7.82,-0.0369
2026-03-31,601138.XSHG,工业富联,电子I,49.0,51.46,0.0502,53.0,53.32,0.006,52.66,52.0,-0.0125,52.6,52.18,-0.008,52.98,52.58,-0.0076,54.16,56.61,0.0452,55.0,55.02,0.0004,55.6,56.52,0.0165,56.0,55.7,-0.0054,56.47,58.92,0.0434,59.36,57.82,-0.0259
2026-03-31,603618.XSHG,杭电股份,电气设备I,27.0,28.49,0.0552,28.99,28.38,-0.021,28.72,27.88,-0.0292,28.69,27.65,-0.0362,27.65,26.89,-0.0275,27.01,25.98,-0.0381,25.87,26.36,0.0189,26.63,24.12,-0.0943,24.12,23.64,-0.0199,23.93,22.2,-0.0723,22.07,21.62,-0.0204
2026-03-31,002463.XSHE,沪电股份,电子I,78.43,75.62,-0.0358,78.14,78.92,0.01,78.63,75.92,-0.0345,77.03,75.97,-0.0138,76.16,76.08,-0.0011,78.93,83.68,0.0602,84.29,85.44,0.0136,86.16,87.91,0.0203,86.1,88.26,0.0251,91.26,97.09,0.0639,98.14,92.35,-0.059
2026-03-31,688008.XSHG,澜起科技,电子I,130.0,125.28,-0.0363,130.0,129.97,-0.0002,131.6,129.0,-0.0198,130.71,127.26,-0.0264,128.97,127.9,-0.0083,133.67,139.21,0.0414,137.52,139.17,0.012,143.0,143.53,0.0037,142.4,152.3,0.0695,157.5,153.36,-0.0263,156.0,147.18,-0.0565
2026-03-31,600089.XSHG,特变电工,电气设备I,27.77,26.5,-0.0457,26.98,26.78,-0.0074,26.82,26.17,-0.0242,26.21,25.5,-0.0271,25.5,25.35,-0.0059,26.0,26.92,0.0354,26.6,26.73,0.0049,26.99,27.09,0.0037,26.74,26.92,0.0067,27.26,27.48,0.0081,27.75,28.22,0.0169
