date,stock,name,industry,amount,open,close,pre_close,pct,net_amount_main,net_pct_main,turnover_ratio
2026-04-01,600276.XSHG,恒瑞医药,化学制药II,57.51,55.8,57.5,55.0,4.55,57708.41,10.04,1.58
2026-04-01,002565.XSHE,顺灏股份,包装印刷II,45.92,17.0,16.7,17.01,-1.82,-46638.15,-10.16,25.75
2026-04-01,002342.XSHE,巨力索具,通用机械II,45.28,15.07,14.25,14.39,-0.97,-52782.56,-11.66,32.53
2026-04-01,002015.XSHE,协鑫能科,电力II,45.25,16.22,17.16,15.86,8.2,74840.99,16.54,16.26
2026-04-01,300017.XSHE,网宿科技,IT服务II,44.5,17.3,17.42,16.6,4.94,21702.2,4.88,10.86
2026-04-01,688041.XSHG,海光信息,半导体II,43.1,217.1,220.31,210.26,4.78,28264.38,6.56,0.85
2026-04-01,300383.XSHE,光环新网,通信运营II,39.47,17.97,17.63,17.1,3.1,14042.24,3.56,12.31
2026-04-01,002281.XSHE,光迅科技,通信设备II,39.38,86.6,86.98,84.3,3.18,22785.83,5.79,5.82
2026-04-02,601872.XSHG,招商轮船,航运港口II,64.28,18.15,19.47,18.0,8.17,-48251.78,-7.51,4.09
2026-04-02,688313.XSHG,仕佳光子,通信设备II,54.88,87.83,92.62,88.7,4.42,12717.64,2.32,12.92
2026-04-02,300620.XSHE,光库科技,通信设备II,50.02,189.85,199.92,186.85,6.99,-3880.84,-0.78,10.02
2026-04-02,600666.XSHG,奥瑞德,光学光电子II,46.82,6.27,6.17,6.27,-1.59,-73328.92,-15.66,30.84
2026-04-02,603778.XSHG,国晟科技,基础建设II,43.75,27.99,29.16,27.5,6.04,-29002.59,-6.63,23.97
2026-04-02,002471.XSHE,中超控股,电网设备II,43.35,8.76,9.36,8.82,6.12,117148.3,27.02,33.89
2026-04-02,002353.XSHE,杰瑞股份,专用设备II,43.35,102.96,107.5,99.95,7.55,53584.58,12.36,5.78
2026-04-02,002432.XSHE,九安医疗,医疗器械II,43.1,80.92,79.6,79.39,0.26,-9457.59,-2.19,11.28
2026-04-02,601600.XSHG,中国铝业,工业金属II,40.47,11.75,11.68,11.56,1.04,-11457.09,-2.83,2.61
2026-04-02,600988.XSHG,赤峰黄金,黄金II,39.98,44.62,44.62,44.97,-0.78,-24693.33,-6.18,5.37
2026-04-02,603538.XSHG,美诺华,化学制药II,39.05,38.51,42.32,39.79,6.36,12406.56,3.18,43.8
2026-04-02,000070.XSHE,特发信息,通信设备II,38.75,17.82,19.37,18.45,4.99,32186.51,8.31,22.75
2026-04-02,601288.XSHG,农业银行,国有大型银行II,38.61,6.59,6.79,6.56,3.51,40950.12,10.61,0.18
2026-04-02,002821.XSHE,凯莱英,医疗服务II,38.4,124.04,126.65,121.85,3.94,-25782.41,-6.71,9.62
2026-04-02,600089.XSHG,特变电工,电网设备II,38.39,26.82,26.17,26.78,-2.28,-46261.54,-12.05,2.85
2026-04-02,600759.XSHG,ST洲际,油气开采II,37.29,5.7,5.89,5.61,4.99,33837.93,9.07,15.36
2026-04-03,000617.XSHE,中油资本,多元金融II,84.81,10.91,10.7,9.92,7.86,129429.59,15.26,6.19
2026-04-03,002281.XSHE,光迅科技,通信设备II,75.37,85.02,90.39,83.9,7.74,73222.24,9.71,10.78
2026-04-03,002428.XSHE,云南锗业,稀有金属II,55.69,49.06,51.71,47.5,8.86,57173.03,10.27,16.64
2026-04-03,300757.XSHE,罗博特科,自动化设备II,52.6,408.0,434.0,390.5,11.14,23502.17,4.47,8.17
2026-04-03,002309.XSHE,中利集团,电网设备II,50.36,4.85,5.03,4.98,1.0,-90893.89,-18.05,42.69
2026-04-03,300548.XSHE,长芯博创,通信设备II,47.63,161.3,165.18,157.88,4.62,42108.28,8.84,10.61
2026-04-03,300136.XSHE,信维通信,电子制造II,42.76,63.35,61.74,61.49,0.41,9358.72,2.19,8.21
2026-04-03,688521.XSHG,芯原股份,半导体II,40.36,224.0,224.8,219.0,2.65,57999.94,14.37,3.43
2026-04-03,688205.XSHG,德科立,通信设备II,38.94,219.98,247.21,206.01,20.0,-875.86,-0.22,10.22
2026-04-03,600010.XSHG,包钢股份,普钢II,38.22,2.62,2.66,2.62,1.53,39487.66,10.33,4.55
2026-04-03,688048.XSHG,长光华芯,半导体II,37.16,226.0,236.93,216.55,9.41,1066.5,0.29,8.79
2026-04-03,000938.XSHE,紫光股份,IT服务II,36.65,24.37,25.56,24.14,5.88,69772.83,19.04,5.06
2026-04-03,688195.XSHG,腾景科技,光学光电子II,36.4,214.07,241.97,202.96,19.22,9884.21,2.72,8.65
2026-04-03,002222.XSHE,福晶科技,光学光电子II,36.09,70.31,75.46,68.6,10.0,62250.58,17.25,10.44
2026-04-03,300342.XSHE,天银机电,家电零部件II,35.84,55.78,56.45,55.98,0.84,-12138.69,-3.39,15.12
2026-04-03,300456.XSHE,赛微电子,半导体II,35.42,47.75,48.3,47.13,2.48,10271.34,2.9,12.05
2026-04-07,002792.XSHE,通宇通讯,通信设备II,46.87,44.56,47.5,45.32,4.81,-58967.64,-12.58,30.03
2026-04-07,600111.XSHG,北方稀土,稀有金属II,45.93,47.49,49.75,47.48,4.78,62098.97,13.52,2.59
2026-04-07,688041.XSHG,海光信息,半导体II,43.49,214.0,217.54,213.77,1.76,37216.2,8.56,0.85
2026-04-07,688981.XSHG,中芯国际,半导体II,43.41,91.5,95.62,91.78,4.18,39256.4,9.04,2.29
2026-04-07,002015.XSHE,协鑫能科,电力II,40.38,16.27,17.26,16.11,7.14,63922.43,15.83,14.37
2026-04-07,600602.XSHG,云赛智联,软件开发II,38.66,24.39,24.05,24.39,-1.39,-40694.55,-10.53,14.75
2026-04-07,600989.XSHG,宝丰能源,化学原料II,38.26,28.66,30.33,28.21,7.52,21021.71,5.49,1.72
2026-04-07,002565.XSHE,顺灏股份,包装印刷II,36.67,15.67,16.02,15.2,5.39,42474.9,11.58,21.19
2026-04-07,600309.XSHG,万华化学,化学制品II,36.22,80.48,84.88,81.05,4.73,35071.67,9.68,1.35
2026-04-07,600150.XSHG,中国船舶,船舶制造II,35.67,30.55,31.98,30.51,4.82,52021.86,14.58,1.5
2026-04-07,000977.XSHE,浪潮信息,计算机设备II,35.43,57.34,59.44,56.91,4.45,32437.18,9.16,4.06
2026-04-08,300058.XSHE,蓝色光标,广告营销II,90.34,14.16,16.31,13.59,20.01,195423.0,21.63,16.79
2026-04-08,300475.XSHE,香农芯创,其他电子II,85.42,145.71,148.18,123.48,20.0,79448.5,9.3,13.4
2026-04-08,603993.XSHG,洛阳钼业,工业金属II,83.54,18.23,18.87,17.35,8.76,96708.09,11.58,2.53
2026-04-08,300059.XSHE,东方财富,证券II,75.21,18.81,19.39,18.36,5.61,63517.15,8.45,2.93
2026-04-08,600410.XSHG,华胜天成,IT服务II,73.26,26.37,27.86,25.6,8.83,76289.8,10.41,24.44
2026-04-08,688008.XSHG,澜起科技,半导体II,68.07,133.67,139.21,127.9,8.84,38837.28,5.71,4.37
2026-04-08,601318.XSHG,中国平安,保险II,66.13,56.12,57.52,54.85,4.87,12796.88,1.94,1.05
2026-04-08,002371.XSHE,北方华创,半导体II,64.47,437.0,463.98,424.08,9.41,75021.38,11.64,1.96
2026-04-08,300017.XSHE,网宿科技,IT服务II,62.86,16.61,18.1,15.77,14.77,31205.51,4.96,15.39
2026-04-08,300136.XSHE,信维通信,电子制造II,57.54,62.53,65.85,60.65,8.57,7774.8,1.35,10.82
2026-04-08,601600.XSHG,中国铝业,工业金属II,56.6,11.76,12.23,11.39,7.37,27581.62,4.87,3.56
2026-04-08,601872.XSHG,招商轮船,航运港口II,54.34,19.19,20.16,20.26,-0.49,-19519.52,-3.59,3.31
2026-04-08,301308.XSHE,江波龙,半导体II,52.78,317.49,323.29,296.92,8.88,27029.73,5.12,6.12
2026-04-08,688012.XSHG,中微公司,半导体II,49.87,204.54,213.05,196.89,8.21,6600.64,1.32,2.53
2026-04-08,300442.XSHE,润泽科技,通信运营II,49.62,83.1,86.91,79.51,9.31,32506.27,6.55,3.58
2026-04-08,600519.XSHG,贵州茅台,白酒II,49.48,1460.0,1465.02,1440.02,1.74,20145.08,4.07,0.27
2026-04-09,002384.XSHE,东山精密,元件II,122.5,128.0,131.9,119.91,10.0,1721.86,0.14,6.76
2026-04-09,300390.XSHE,天华新能,电池II,70.03,65.0,62.0,57.02,8.73,-23146.71,-3.31,16.5
2026-04-09,000977.XSHE,浪潮信息,计算机设备II,68.4,61.47,65.03,62.65,3.8,52081.93,7.61,7.24
2026-04-09,002131.XSHE,利欧股份,通用机械II,66.38,7.99,7.96,7.91,0.63,-67907.13,-10.23,14.16
2026-04-09,000063.XSHE,中兴通讯,通信设备II,64.3,33.7,35.56,34.04,4.47,91018.11,14.16,4.56
2026-04-09,688313.XSHG,仕佳光子,通信设备II,61.34,96.65,106.77,98.61,8.28,32469.03,5.29,13.11
2026-04-09,002491.XSHE,通鼎互联,通信设备II,57.49,15.59,16.14,15.2,6.18,-87973.87,-15.3,32.24
2026-04-09,600666.XSHG,奥瑞德,光学光电子II,56.32,7.15,6.56,6.5,0.92,-64290.55,-11.41,34.63
2026-04-09,603259.XSHG,药明康德,医疗服务II,50.7,102.1,104.53,102.11,2.37,-434.8,-0.09,1.93
2026-04-09,002008.XSHE,大族激光,自动化设备II,49.7,70.9,76.25,70.7,7.85,11898.3,2.39,6.95
2026-04-09,603083.XSHG,剑桥科技,通信设备II,49.6,112.76,115.37,111.38,3.58,-42435.65,-8.56,15.61
2026-04-09,002565.XSHE,顺灏股份,包装印刷II,49.16,17.05,17.23,17.19,0.23,-18584.76,-3.78,26.57
2026-04-09,002361.XSHE,神剑股份,塑料II,48.83,16.78,16.41,16.78,-2.21,-33988.2,-6.96,36.2
2026-04-09,300342.XSHE,天银机电,家电零部件II,48.46,58.66,53.31,58.97,-9.6,-69457.17,-14.33,20.41
2026-04-09,603778.XSHG,国晟科技,基础建设II,47.15,32.0,32.84,32.03,2.53,-28945.87,-6.14,22.19
2026-04-10,300059.XSHE,东方财富,证券II,119.21,19.12,19.66,18.86,4.24,109255.69,9.16,4.48
2026-04-10,600030.XSHG,中信证券,证券II,110.37,24.61,25.48,23.76,7.24,105062.99,9.52,3.5
2026-04-10,300207.XSHE,欣旺达,电池II,83.13,25.74,28.51,24.86,14.68,81324.68,9.78,16.87
2026-04-10,002837.XSHE,英维克,专用设备II,75.46,72.9,76.05,71.47,6.41,91706.69,12.15,8.93
2026-04-10,300014.XSHE,亿纬锂能,电池II,73.67,65.78,68.85,64.89,6.1,19772.58,2.68,5.25
2026-04-10,002709.XSHE,天赐材料,电池II,69.97,44.01,46.46,43.65,6.44,26361.01,3.77,10.18
2026-04-10,688041.XSHG,海光信息,半导体II,68.73,230.49,231.82,227.0,2.12,13304.34,1.94,1.27
2026-04-10,002594.XSHE,比亚迪,乘用车II,61.3,99.39,101.67,99.03,2.67,67166.21,10.96,1.74
2026-04-10,002916.XSHE,深南电路,元件II,59.55,243.52,260.45,241.54,7.83,-23079.56,-3.88,3.44
2026-04-10,002342.XSHE,巨力索具,通用机械II,57.0,15.99,15.49,15.58,-0.58,-28502.93,-5.0,37.48
2026-04-10,300033.XSHE,同花顺,软件开发II,52.41,220.27,228.7,216.41,5.68,-7918.57,-1.51,5.18
2026-04-10,300442.XSHE,润泽科技,通信运营II,51.56,88.0,87.04,87.29,-0.29,-4268.54,-0.83,3.61
2026-04-10,688521.XSHG,芯原股份,半导体II,50.85,245.0,248.0,238.24,4.1,26022.69,5.12,3.88
2026-04-10,688048.XSHG,长光华芯,半导体II,50.56,229.0,239.39,230.05,4.06,-14347.32,-2.84,12.37
2026-04-10,603799.XSHG,华友钴业,能源金属II,49.23,59.38,60.9,58.99,3.24,40004.18,8.13,4.27
2026-04-13,600010.XSHG,包钢股份,普钢II,66.27,2.95,2.98,2.83,5.3,7578.52,1.14,7.11
2026-04-13,605117.XSHG,德业股份,光伏设备II,62.32,98.65,103.84,98.65,5.26,-58890.26,-9.45,4.63
2026-04-13,603019.XSHG,中科曙光,计算机设备II,62.23,84.25,88.61,84.93,4.33,32714.1,5.26,4.79
2026-04-13,000938.XSHE,紫光股份,IT服务II,60.71,26.87,28.17,27.03,4.22,57201.34,9.42,7.6
2026-04-13,600111.XSHG,北方稀土,稀有金属II,55.07,52.9,52.2,51.61,1.14,-9261.06,-1.68,2.9
2026-04-13,002074.XSHE,国轩高科,电池II,53.59,38.8,39.5,38.81,1.78,-32265.53,-6.02,7.89
2026-04-13,300570.XSHE,太辰光,通信设备II,52.53,124.85,136.6,127.15,7.43,62802.72,11.96,20.49
2026-04-13,002436.XSHE,兴森科技,元件II,49.47,22.59,25.21,22.92,9.99,75036.45,15.17,13.52
2026-04-13,002558.XSHE,巨人网络,游戏II,48.32,34.9,31.29,34.31,-8.8,-19561.25,-4.05,7.92
2026-04-14,603799.XSHG,华友钴业,能源金属II,79.86,63.05,63.77,61.89,3.04,29092.98,3.64,6.72
2026-04-14,300136.XSHE,信维通信,电子制造II,73.99,64.23,68.54,63.51,7.92,59341.8,8.02,13.48
2026-04-14,002202.XSHE,金风科技,风电设备II,69.37,24.35,25.3,24.14,4.81,46881.22,6.76,8.32
2026-04-14,002428.XSHE,云南锗业,稀有金属II,68.09,56.0,58.88,55.13,6.8,40560.05,5.96,17.85
2026-04-14,688048.XSHG,长光华芯,半导体II,58.52,260.76,289.0,255.9,12.93,-18970.24,-3.24,11.54
2026-04-14,603993.XSHG,洛阳钼业,工业金属II,57.52,19.17,19.28,18.59,3.71,44656.33,7.76,1.69
2026-04-14,600176.XSHG,中国巨石,玻璃制造II,56.52,32.92,32.32,31.96,1.13,-49388.45,-8.74,4.34
2026-04-14,300017.XSHE,网宿科技,IT服务II,56.41,18.77,18.34,17.84,2.8,-4339.34,-0.77,12.97
2026-04-14,688111.XSHG,金山办公,软件开发II,54.28,260.0,248.53,233.74,6.33,-23178.49,-4.27,4.67
2026-04-14,600183.XSHG,生益科技,元件II,53.06,64.14,66.45,63.12,5.28,34753.77,6.55,3.34
2026-04-15,300857.XSHE,协创数据,电子制造II,112.15,199.91,200.27,178.09,12.45,-88946.53,-7.93,11.83
2026-04-15,603083.XSHG,剑桥科技,通信设备II,84.66,125.32,125.61,120.44,4.29,53178.76,6.28,23.71
2026-04-15,601179.XSHG,中国西电,电网设备II,77.15,16.42,17.7,16.2,9.26,78431.19,10.17,8.68
2026-04-15,600089.XSHG,特变电工,电网设备II,73.76,27.75,28.22,27.48,2.69,9333.67,1.27,5.19
2026-04-15,688981.XSHG,中芯国际,半导体II,73.37,102.05,103.91,101.52,2.35,57381.16,7.82,3.52
2026-04-15,002149.XSHE,西部材料,稀有金属II,70.35,52.0,53.65,50.0,7.3,32002.52,4.55,26.65
