日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅,主力净流入（万）,主力占比（%）,换手率（%）
2026-06-04,002050.XSHE,三花智控,家电零部件II,78.38,44.6,47.01,45.08,4.28,1.06,-0.27,53288.73,6.8,4.53
2026-06-05,688017.XSHG,绿的谐波,自动化设备II,79.29,322.78,393.0,327.5,20.0,8.97,-1.89,114682.2,14.46,12.21
2026-06-09,600176.XSHG,中国巨石,玻璃制造II,69.31,37.07,39.12,35.56,10.01,0.64,4.32,111235.16,16.05,4.5
2026-06-09,688126.XSHG,沪硅产业,半导体II,65.16,27.43,31.73,26.44,20.01,2.9,-0.46,86115.99,13.22,7.98
2026-06-09,002371.XSHE,北方华创,半导体II,62.1,601.02,617.1,585.74,5.35,0.34,2.96,5393.02,0.87,1.41
2026-06-10,688012.XSHG,中微公司,半导体II,87.05,282.89,289.11,285.04,1.43,4.85,0.26,49403.95,5.68,3.16
2026-06-10,300604.XSHE,长川科技,半导体II,81.9,212.5,226.74,212.73,6.59,2.69,-4.17,38509.44,4.7,7.42
2026-06-10,000657.XSHE,中钨高新,稀有金属II,74.05,69.18,72.9,70.8,2.97,6.93,1.35,50266.34,6.79,7.03
2026-06-10,688072.XSHG,拓荆科技,半导体II,63.28,586.0,618.0,597.0,3.52,6.03,-1.54,33543.88,5.3,3.63
2026-06-11,002428.XSHE,云南锗业,稀有金属II,112.82,81.6,88.24,80.22,10.0,4.56,10.0,218165.38,19.34,19.99
2026-06-11,002407.XSHE,多氟多,化学制品II,79.2,35.5,38.19,34.72,9.99,3.88,1.18,85106.35,10.75,20.13
2026-06-12,301308.XSHE,江波龙,半导体II,122.21,545.0,514.89,514.8,0.02,2.79,2.08,111138.57,9.09,8.07
2026-06-12,603993.XSHG,洛阳钼业,工业金属II,85.1,18.36,19.11,17.37,10.02,9.47,-4.25,168560.96,19.81,2.61
2026-06-16,002436.XSHE,兴森科技,元件II,86.89,39.99,44.1,40.09,10.0,8.39,8.91,90052.21,10.36,13.26
2026-06-17,600549.XSHG,厦门钨业,稀有金属II,133.07,80.0,80.84,78.41,3.1,6.27,10.0,-109602.88,-8.24,10.72
2026-06-17,002156.XSHE,通富微电,半导体II,118.41,62.72,67.22,62.93,6.82,1.56,4.37,43604.64,3.68,11.83
2026-06-17,001309.XSHE,德明利,半导体II,116.17,642.0,709.62,655.66,8.23,0.34,3.52,50370.17,4.34,10.41
2026-06-17,300475.XSHE,香农芯创,其他电子II,116.0,198.98,245.29,204.41,20.0,3.91,12.92,130039.93,11.21,11.55
2026-06-17,688012.XSHG,中微公司,半导体II,104.44,314.0,351.0,319.0,10.03,2.56,3.54,67740.04,6.49,3.34
2026-06-17,002185.XSHE,华天科技,半导体II,96.83,17.5,19.05,17.82,6.9,2.94,4.23,54049.38,5.58,15.64
2026-06-17,300857.XSHE,协创数据,电子制造II,91.84,239.52,266.99,237.5,12.42,4.03,14.06,93577.01,10.19,7.37
2026-06-18,300223.XSHE,北京君正,半导体II,106.56,172.66,186.05,171.7,8.36,3.6,0.65,-591.67,-0.06,13.85
2026-06-18,600111.XSHG,北方稀土,稀有金属II,93.67,50.0,51.4,50.32,2.15,5.35,-7.76,29467.17,3.15,5.0
2026-06-23,002428.XSHE,云南锗业,稀有金属II,147.39,119.24,111.9,110.48,1.29,10.0,5.7,-77732.63,-5.27,19.93
2026-06-23,601869.XSHG,长飞光纤,通信设备II,129.29,555.0,570.58,518.71,10.0,1.65,-0.86,14247.93,1.1,5.67
2026-06-23,300604.XSHE,长川科技,半导体II,127.02,269.98,279.4,268.49,4.06,10.0,0.86,10872.95,0.86,9.3
2026-06-24,002185.XSHE,华天科技,半导体II,122.01,19.4,20.98,19.54,7.37,6.77,0.71,43554.13,3.57,17.87
2026-06-24,600105.XSHG,永鼎股份,通信设备II,105.12,61.01,68.74,62.49,10.0,6.14,-9.94,200257.21,19.05,10.69
2026-06-24,300136.XSHE,信维通信,电子制造II,103.33,94.24,103.12,95.48,8.0,13.2,1.25,104001.66,10.06,12.61
2026-06-24,000636.XSHE,风华高科,元件II,93.51,69.51,72.38,70.21,3.09,10.0,-1.41,19781.3,2.12,11.29
2026-06-24,000021.XSHE,深科技,电子制造II,91.66,44.36,50.27,45.7,10.0,5.83,0.58,90884.81,9.92,12.13
2026-06-26,600667.XSHG,太极实业,工程咨询服务II,144.89,26.24,26.82,25.26,6.18,7.9,0.83,-33813.05,-2.33,25.24
2026-06-26,002371.XSHE,北方华创,半导体II,100.09,795.0,813.37,798.0,1.93,5.76,2.83,-18309.62,-1.83,1.71
